file	start	end
fold_dystroseq_exons_1_9_protein_model_0.cif	1	320
fold_dystroseq_exons_9_15_protein_model_0.cif	278	604
fold_dystroseq_exons_15_21_protein_model_0.cif	569	934
fold_dystroseq_exons_21_27_protein_model_0.cif	875	1262
fold_dystroseq_exons_27_33_protein_model_0.cif	1202	1558
fold_dystroseq_exons_33_39_protein_model_0.cif	1507	1862
fold_dystroseq_exons_39_45_protein_model_0.cif	1817	2204
fold_dystroseq_exons_45_51_protein_model_0.cif	2147	2514
fold_dystroseq_exons_51_57_protein_model_0.cif	2437	2849
fold_dystroseq_exons_57_63_protein_model_0.cif	2796	3095
fold_dystroseq_exons_63_71_protein_model_0.cif	3075	3420
fold_dystroseq_exons_71_79_protein_model_0.cif	3408	3685
